Rodada;#;Empresa;Site;Email Disponivel;Tipo Email;Segmento;Telefone;Dor Identificada;Nome Decisor (preencher);Email Decisor (preencher);Onde Buscar;Status
2026-03-26;1;Ribeiro & Feitoza Advogados;ribeiroefeitozaadvogados.com.br;contato@ribeiroefeitozaadvogados.com.br;Genérico;Multidisciplinar;(92) 99147-9179;Site simples sem CTA claro;;;LinkedIn / Site > Equipe;Pendente
2026-03-26;2;Furtado Maia Advocacia;furtadomaia.adv.br;atendimento@furtadomaia.adv.br;Genérico;Consumidor / Trabalhista;(92) 98170-5376;Site básico sem formulário qualificado — redesign + Google Ads;;;LinkedIn / OAB-AM;Pendente
2026-03-26;3;FM&V Advocacia;fmvadv.com.br;contato@fmvadv.com.br;Genérico;Empresarial / Tributário;(92) 98199-0023;Site sem depoimentos e sem CTA forte;;;LinkedIn / Site > Sobre;Pendente
2026-03-26;4;Simonetti e Paiva Advogados;simonettiepaiva.com.br;contato@si.adv.br;Genérico;Penal / Empresarial;(92) 3584-4432;Site institucional desatualizado — redesign + LP para serviço principal;;;LinkedIn / Site > Equipe;Pendente
2026-03-26;5;Bezerra & Dantas Advocacia;bezerraedantasadv.com.br;atendimento@bezerraedantasadv.com.br;Genérico;Bancário / Consumidor;(92) 99347-6202;Site sem SEO estruturado — verificar desempenho no Google e oferecer SEO + LP;;;LinkedIn / Site > Sócios;Pendente
2026-03-26;6;Molina Advogados Associados;molinaadvogado.adv.br;atrium@molinaadvogado.adv.br;Genérico;Previdenciário / Consumidor;(92) 3347-6207;Não tem site real — criar do zero em WordPress + Elementor;;;LinkedIn / OAB-AM / WhatsApp;Pendente
2026-03-26;7;Coimbra Garcia Advogados;coimbragarcia.adv.br;recepcao@coimbragarcia.adv.br;Genérico;Empresarial / Família;(92) 3236-2939;Erro crítico no WordPress + título da aba errado (coimbragarcia :: home) — oferecer correção + SEO;;;LinkedIn / Site > Equipe;Pendente
2026-03-26;8;San Barbosa Advocacia Estratégica;sanbarbosa.adv.br;contato@sanbarbosa.adv.br;Genérico;Estratégica / Empresarial;(92) 99457-9861;Layout antigo — redesign focado em LP + Google Ads + mostrar portfólio;;;LinkedIn / Instagram;Pendente
2026-03-26;9;Martinho & Nunes Advogados;martinhoenunes.com.br;contato@martinhoenunes.com.br;Genérico;Tributário / Empresarial;(92) 3304-4415;Site marcado como NÃO SEGURO — impacta ranqueamento no Google — oferecer correção SSL + LP;;;LinkedIn / Site > Sócios;Pendente
2026-03-26;10;Ale Advocacia;aleadvocacia.adv.br;escjur@aleadvocacia.adv.br;Genérico;Multidisciplinar;(92) 99516-7490;Email jurídico genérico — não chega no sócio;;;LinkedIn / OAB-AM;Pendente
2026-03-26;11;Kelson Souza & Advogados;kelsonsouzaadv.com.br;CONTATO VIA WHATSAPP DIRETO;Sem email;Cível / Previdenciário;(92) 9 8477-2834;Sem email público — abordar via WhatsApp;;;WhatsApp direto / LinkedIn;Pendente
2026-03-26;12;Medina Ribeiro & Aguiar;medinaeribeiro.com;Pedro@medinaeribeiro.com;Decisor ✅;Empresarial / Imobiliário;(92) 98422-6686;Site sem estrutura de conversão — redesign focado no serviço principal;Pedro Ribeiro;Pedro@medinaeribeiro.com;Encontrado;Pronto para email
2026-03-26;13;Viana & Barbosa Advogados;vianaebarbosaadvogados.com.br;Não encontrado;Sem email — Site tela branca;;(sem telefone);Site não abre (tela branca) — oferecer correção + novo site — contato via WhatsApp;;;LinkedIn / OAB-AM;Pendente
2026-03-26;14;Oliveira Advocacia & Consultoria;oliveiraconsultoriaadv.com.br;Não encontrado;Sem email;Previdenciário / Família;(92) 98249-1054;Sem email público;;;LinkedIn / OAB-AM;Pendente
2026-03-28;15;Brandão Ozores Sociedade de Advogados;ozoresadv.com.br;contato@ozoresadv.com.br;Genérico;Full Service / Tributário / ESG;(92) 3347-8115;Site bom mas sem LP — LP + Google Ads como braço de captação;;;LinkedIn / Site > Equipe;Pendente
2026-03-28;16;CQB Advogados;cqbadvogados.com.br;contato@cqbaadvogados.com.br;Genérico;Empresarial / Cível / Trabalhista;(92) 99416-1634;Site ok — ajustar estrutura + LP para serviço que mais vende + Google Ads;;;LinkedIn / Site > Equipe;Pendente
2026-03-28;17;Rapp Sousa Advocacia;rappsousa.adv.br;contato@rappsousa.adv.br;Genérico;Cível / Trabalhista / Bancário;(92) 98195-8294;7 áreas sem diferenciação — redesign + LP + Google Ads + Ecossistema com IA;;;LinkedIn / Site > Sobre;Pendente
2026-03-28;18;Sadala & Sena Advogados;senaadvogados.com;contato@senaadvogados.com.br;Genérico;Geral / Agrário / Consumidor;(92) 99284-0141;Site desatualizado — redesign + LP + tráfego pago para captação;;;LinkedIn / Site > Equipe;Pendente
2026-03-28;19;Dra. Dalimar Silva;dalimaradvogada.com.br;adv.dalimarsilva@gmail.com;Decisor ✅ (Gmail);Família / Sucessões / Digital;(92) 98610-5058;Site muito antigo — redesign + tráfego — layout ruim e de baixa qualidade;Dalimar Silva;adv.dalimarsilva@gmail.com;Encontrado;Pronto para email
2026-03-28;20;VLV Advogados;vlvadvogados.com;contato@vlvadvogados.com;Genérico — verificar se site voltou;Criminal / Bancário;(92) 3878-3787;Site estava 403 — verificar se voltou — abordar sobre instabilidade;;;LinkedIn / Google Maps / WhatsApp;Pendente
2026-03-28;21;Juliana Rodrigues;julianarodriguesadv.com.br;julianasouzarodrigues.adv@gmail.com;Decisor ✅ (Gmail);Trabalhista / Consumidor;(92) 982301415;Site institucional antigo — redesign focado em conversão + Google Ads;Juliana Rodrigues;julianasouzarodrigues.adv@gmail.com;Encontrado;Pronto para email
2026-03-28;22;Dra. Fernanda Amazonas;fernandaamazonas.com.br;Não encontrado;Sem email — Site offline;Cível;(92) 92001-7674;Site inseguro/offline — criar novo site + Ecossistema;;;OAB-AM / LinkedIn / Google Maps;Pendente
